TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
87210,5,14.6,0.9,2.834,2.922,3.81,3.117,4.381,2192.817,2603.733,3.817,2,20,-9,5.04,1.85,7.01,0,16
86905,6,14.6,0.9,2.823,2.861,3.904,3.071,4.331,2193.07,1594.039,4.485,0,20,-10,5.04,1.85,7.01,0,18
85282,6,14.6,0.5,2.771,2.792,4.027,3.011,4.293,2241.681,2765.263,5.139,5,20,-10,5.04,1.85,7.01,0,17
84935,5,14.6,0.4,2.772,2.799,3.855,3.02,4.281,2218.768,2510.055,5.765,-2,22,-12,5.04,1.85,7.01,0,18
86795,6,14.6,0.4,2.776,2.807,3.891,3.041,4.325,2255.1,3358.85,4.097,3,21,-11,5.04,1.85,7.01,0,17
82144,1,14.5,0.2,2.816,2.874,3.884,3.083,4.35,2596.39,2644.369,2.912,-3,21,-13,5.04,1.85,7.01,0,17
91695,3,14.6,0.2,2.791,2.848,3.737,3.054,4.263,2692.6,2808.431,2.696,10,21,-10,5.04,1.85,7.01,0,5
90771,6,14.6,0.4,2.826,2.914,3.973,3.074,4.319,2559.299,3076.678,5.145,22,21,-6,5.04,1.85,7.01,0,19
89120,6,14.6,0.5,2.792,2.871,3.989,3.062,4.265,2527.018,3057.183,4.994,-4,21,-15,5.04,1.85,7.01,0,20
89492,7,14.8,0.7,2.825,2.9,4.01,3.052,4.232,2588.035,3332.013,4.413,-2,22,-15,5.04,1.85,7.01,0,23
84861,5,14.6,0.7,2.819,2.903,4.135,3.054,4.235,2623.101,1594.546,4.561,-3,17,-16,5.04,1.85,7.01,0,20
85225,5,14.8,0.9,2.807,2.894,3.984,3.062,4.249,2650.698,2045.844,3.966,0,21,-14,5.04,1.85,7.01,0,21
86911,6,14.8,1.1,2.825,2.913,3.874,3.086,4.236,2504.105,1969.13,3.421,2,20,-14,5.04,1.85,7.01,0,21
